Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,1.5462e+08,0,0,2.54471e+08,0,154620000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,1.5641e+08,0,0,2.53745e+08,0,156410000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,1.60493e+08,0,0,2.57829e+08,0,160493000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,1.65995e+08,0,0,2.6333e+08,0,165995000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,1.69632e+08,0,0,2.66973e+08,1.08606e+07,169632000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,1.63014e+08,0,0,2.61551e+08,5.86824e+06,163014000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,1.45019e+08,0,0,2.53371e+08,5.93848e+06,145019000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,1.80938e+08,0,0,2.80331e+08,7.91657e+06,180938000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,1.40743e+08,0,0,2.19971e+08,6.15867e+06,140743000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,1.23578e+08,0,0,1.99682e+08,6.45883e+06,123578000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,1.08169e+08,0,0,1.83335e+08,7.71554e+06,108169000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,1.02343e+08,0,0,1.77311e+08,6.77077e+06,102343000.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,1.07054e+08,0,0,1.81872e+08,7.73813e+06,107054000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,8.67048e+07,0,0,1.61597e+08,8.5407e+06,86704800.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,1.17224e+08,0,252526,2.01655e+08,6.58843e+06,117224000.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,1.06841e+08,0,0,1.85352e+08,7.71756e+06,106841000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,1.17775e+08,0,0,2.04509e+08,6.0395e+06,117775000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,1.25248e+08,0,0,2.34797e+08,6.98318e+06,125248000.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,1.31865e+08,0,0,2.38465e+08,6.76266e+06,131865000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,1.30685e+08,0,0,2.37281e+08,1.92308e+06,130685000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,1.20175e+08,0,0,2.26769e+08,0,120175000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,1.52641e+08,0,0,2.63359e+08,0,152641000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,1.35915e+08,0,0,2.42509e+08,0,135915000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,1.32383e+08,0,0,2.38978e+08,1.5404e+06,132383000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,1.17943e+08,0,0,2.25137e+08,8.20306e+06,117943000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,1.15187e+08,0,0,2.21037e+08,0,115187000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,1.14706e+08,0,0,2.2024e+08,1.54047e+06,114706000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,1.13079e+08,0,0,2.18637e+08,0,113079000.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,3.85233e+08,0,80873,5.1261e+08,0,385233000.0
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,5.47337e+07,0,6745.95,1.95626e+08,9.77121e+06,54733700.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,5.9218e+08,0,48400,7.96815e+08,8.99361e+06,592180000.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,4.66489e+08,0,69717,9.03348e+08,1.10986e+07,466489000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,2.19079e+08,0,200843,8.88738e+08,1.71544e+07,219079000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,1.58246e+08,0,547430,7.85737e+08,1.5027e+07,158246000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,1.10036e+08,0,1.61636e+06,6.96266e+08,1.8494e+07,110036000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,5.77965e+07,0,3.31278e+06,6.44796e+08,2.082e+07,57796500.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,1.18746e+07,0,4.30346e+06,6.01391e+08,2.08209e+07,11874600.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,94735.8,0,5.16847e+06,5.9152e+08,1.71255e+07,94735.8
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,0,6.06435e+06,6.00153e+08,1.47225e+07,0.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,5636.22,0,6.52276e+06,5.90348e+08,1.69226e+07,5636.22
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,1.11282e+07,0,4.9523e+06,4.29698e+08,1.24293e+07,11128200.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,2.38037e+07,0,1.1869e+06,3.05542e+08,1.17542e+07,23803700.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,3.14729e+07,0,3.18703e+06,3.11392e+08,9.542e+06,31472900.0
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,3.20312e+07,0,3.08551e+06,2.82569e+08,9.46481e+06,32031200.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,3.49993e+07,0,3.27608e+06,2.64001e+08,8.53918e+06,34999300.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,1.47847e+06,1.54804e+08,7.76394e+06,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,9.76854e+07,6.44614e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,0,9.70857e+07,5.91129e+06,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,8.65773e+07,5.78787e+06,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,8.52337e+07,0,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,8.49168e+07,0,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,0,0,0,8.49416e+07,0,0.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,6.47959e+07,0,1.05585e+06,1.81347e+08,1.54074e+06,64795900.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,0,0,2.12584e+06,1.59111e+08,9.13935e+06,0.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,1.40035e+08,0,2.92158e+06,3.67718e+08,8.98209e+06,140035000.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,6.90621e+07,0,4.02976e+06,5.30739e+08,1.13472e+07,69062100.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,3.08668e+06,0,6.59169e+06,6.56272e+08,1.69654e+07,3086680.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,0,7.48603e+06,6.18852e+08,1.52319e+07,0.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,0,8.26856e+06,6.05078e+08,1.84897e+07,0.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,0,8.76492e+06,5.9498e+08,2.05784e+07,0.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,0,9.35722e+06,5.95722e+08,2.10794e+07,0.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,0,8.31169e+06,5.96485e+08,1.70369e+07,0.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,0,8.56076e+06,5.97974e+08,1.48448e+07,0.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,0,1.32918e+07,5.99351e+08,1.68368e+07,0.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,0,2.87522e+07,4.43584e+08,1.1181e+07,0.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,0,1.80697e+07,3.2751e+08,1.20913e+07,0.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,31546.6,0,1.27191e+07,2.89447e+08,1.06605e+07,31546.6
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,8.6218e+06,2.53996e+08,9.40024e+06,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,0,0,4.62025e+06,2.2181e+08,8.49144e+06,0.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,48782.7,0,3.00399e+06,1.66459e+08,6.14091e+06,48782.7
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,0,0,2.51009e+06,1.34308e+08,7.94922e+06,0.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,0,0,4.13083e+06,1.3799e+08,5.992e+06,0.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,0,0,1.73388e+06,1.21948e+08,5.39974e+06,0.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,0,0,0,9.71164e+07,0,0.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,9.45739e+07,0,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,0,0,0,9.35257e+07,0,0.0
01/04/2006 05:00,1,4,3,5,0,11.2167,95,1.11584e+07,0,6.44411e+06,1.33133e+08,0,11158400.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,0,0,4.06463e+06,1.69886e+08,9.81245e+06,0.0
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,2.57579e+07,0,3.60029e+06,2.54168e+08,8.90589e+06,25757900.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,6.03475e+06,0,5.21649e+06,4.71191e+08,1.27713e+07,6034750.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,0,0,7.5087e+06,6.67286e+08,1.52277e+07,0.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,0,1.04286e+07,6.20373e+08,1.69061e+07,0.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,3.49742e+07,6.50239e+08,1.83726e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,9.87714e+07,7.19755e+08,1.97835e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,1.22867e+08,7.5679e+08,2.19195e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,1.25582e+08,7.69213e+08,1.57451e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,0,1.20631e+08,7.59738e+08,1.62218e+07,0.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,0,1.16145e+08,7.07034e+08,1.55109e+07,0.0
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,0,6.82636e+07,4.79006e+08,1.41743e+07,0.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,42151.6,0,3.14733e+07,3.52409e+08,1.02056e+07,42151.6
01/04/2006 19:00,1,4,3,19,0,15.4083,75,37038.1,0,1.58369e+07,2.9996e+08,1.01085e+07,37038.1
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,3.60045e+06,2.33757e+08,1.07755e+07,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,0,0,2.49171e+06,2.10152e+08,6.78277e+06,0.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,43042,0,1.23315e+06,1.46223e+08,8.19558e+06,43042.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,0,0,0,1.11297e+08,6.04359e+06,0.0
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,0,0,0,1.10697e+08,6.56405e+06,0.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,0,0,0,1.02623e+08,5.14677e+06,0.0
01/05/2006 02:00,1,5,4,2,0,10,100,0,0,0,9.8269e+07,0,0.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,0,0,0,9.67995e+07,1.54077e+06,0.0
01/05/2006 04:00,1,5,4,4,0,9.98333,100,0,0,0,9.91296e+07,0,0.0
01/05/2006 05:00,1,5,4,5,0,9.78333,100,1.06839e+07,0,1.09606e+06,1.27125e+08,0,10683900.0
01/05/2006 06:00,1,5,4,6,0,10.3417,100,0,0,3.19551e+06,1.66823e+08,9.57441e+06,0.0
01/05/2006 07:00,1,5,4,7,0,11.9667,100,1.9594e+07,0,4.09051e+06,2.48543e+08,8.96652e+06,19594000.0
01/05/2006 08:00,1,5,4,8,0,12.6833,100,5.80701e+06,0,6.35498e+06,4.66096e+08,1.16863e+07,5807010.0
01/05/2006 09:00,1,5,4,9,0,14.175,97.6667,0,0,1.04712e+07,6.55749e+08,1.66193e+07,0.0
01/05/2006 10:00,1,5,4,10,0,16.2917,94.8333,0,0,3.179e+07,6.4476e+08,1.56062e+07,0.0
01/05/2006 11:00,1,5,4,11,0,15.6583,95.1667,0,0,2.63318e+07,6.30574e+08,1.84912e+07,0.0
01/05/2006 12:00,1,5,4,12,0,15.4583,93.0833,0,0,1.91616e+07,6.18583e+08,2.03214e+07,0.0
01/05/2006 13:00,1,5,4,13,0,17.6917,81.0833,0,0,5.76896e+07,6.53036e+08,2.13708e+07,0.0
01/05/2006 14:00,1,5,4,14,0,20.3583,64.6667,0,0,1.18033e+08,7.37546e+08,1.69994e+07,0.0
01/05/2006 15:00,1,5,4,15,0,21.4583,55.0833,0,0,1.20618e+08,7.33135e+08,1.49368e+07,0.0
01/05/2006 16:00,1,5,4,16,0,20.8,55.3333,0,0,1.12959e+08,6.84833e+08,1.68246e+07,0.0
01/05/2006 17:00,1,5,4,17,0,19.1917,61.6667,0,0,6.35005e+07,4.72741e+08,1.26273e+07,0.0
01/05/2006 18:00,1,5,4,18,0,16.3583,71.4167,41433.4,0,2.90463e+07,3.48344e+08,1.17299e+07,41433.4
01/05/2006 19:00,1,5,4,19,0,14.2,78.3333,36156.1,0,2.61494e+06,2.61888e+08,9.55594e+06,36156.1
01/05/2006 20:00,1,5,4,20,0,14.4,78.25,0,0,3.76611e+06,2.41584e+08,9.46011e+06,0.0
01/05/2006 21:00,1,5,4,21,0,15.3083,74.6667,39263,0,4.77846e+06,2.24234e+08,8.5296e+06,39263.0
01/05/2006 22:00,1,5,4,22,0,15.25,72.4167,0,0,5.16632e+06,1.68669e+08,7.26321e+06,0.0
01/05/2006 23:00,1,5,4,23,0,15.2917,55.6667,0,0,5.0034e+06,1.39454e+08,6.95588e+06,0.0
01/06/2006 00:00,1,6,5,0,0,13.2833,64.4167,0,0,1.8908e+06,1.26426e+08,5.90776e+06,0.0
01/06/2006 01:00,1,6,5,1,0,12.6333,58.5833,0,0,1.26317e+06,1.22281e+08,5.78907e+06,0.0
01/06/2006 02:00,1,6,5,2,0,13.0083,43.4167,0,0,1.38762e+06,1.18337e+08,0,0.0
01/06/2006 03:00,1,6,5,3,0,12.8,40.6667,0,0,1.25799e+06,1.17596e+08,0,0.0
01/06/2006 04:00,1,6,5,4,0,12.2167,39.5833,0,0,300515,1.02297e+08,0,0.0
01/06/2006 05:00,1,6,5,5,0,10.75,44.0833,1.17872e+07,0,5.86936e+06,1.33106e+08,1.54048e+06,11787200.0
01/06/2006 06:00,1,6,5,6,0,9.94167,46.4167,0,0,2.80932e+06,1.66374e+08,8.87922e+06,0.0
01/06/2006 07:00,1,6,5,7,0,9.49167,47.1667,4.61745e+07,0,2.15569e+06,2.73085e+08,8.96497e+06,46174500.0
01/06/2006 08:00,1,6,5,8,0,9.2,46.8333,1.55493e+07,0,2.90435e+06,4.67664e+08,1.17579e+07,15549300.0
01/06/2006 09:00,1,6,5,9,0,10.075,42.5,24207.9,0,5.05477e+06,6.31752e+08,1.65626e+07,24207.9
01/06/2006 10:00,1,6,5,10,0,10.9917,40.5833,0,0,4.36632e+06,5.91108e+08,1.56813e+07,0.0
01/06/2006 11:00,1,6,5,11,0,11.725,37.5,0,0,4.57565e+06,5.81519e+08,1.84969e+07,0.0
01/06/2006 12:00,1,6,5,12,0,12.9167,28,0,0,4.92767e+06,5.83944e+08,2.0349e+07,0.0
01/06/2006 13:00,1,6,5,13,0,14.3167,23.5833,0,0,7.5016e+06,6.23643e+08,2.13559e+07,0.0
01/06/2006 14:00,1,6,5,14,0,15.075,24,0,0,1.278e+07,6.37094e+08,1.70803e+07,0.0
01/06/2006 15:00,1,6,5,15,0,15.3167,23.4167,0,0,1.83061e+07,6.30295e+08,1.48744e+07,0.0
01/06/2006 16:00,1,6,5,16,0,15.225,24.1667,0,0,1.55883e+07,5.76627e+08,1.6933e+07,0.0
01/06/2006 17:00,1,6,5,17,0,14.4,24.4167,0,0,7.38984e+06,4.11479e+08,1.2527e+07,0.0
01/06/2006 18:00,1,6,5,18,0,12.15,30.4167,43647.7,0,1.4651e+07,3.31596e+08,1.17253e+07,43647.7
01/06/2006 19:00,1,6,5,19,0,10.6667,36.1667,151037,0,1.99948e+06,2.55176e+08,9.56103e+06,151037.0
01/06/2006 20:00,1,6,5,20,0,10.0333,37.5833,512707,0,2.22629e+06,2.27082e+08,9.54295e+06,512707.0
01/06/2006 21:00,1,6,5,21,0,9.05833,38.5833,2.39005e+06,0,3.03743e+06,2.26056e+08,8.48747e+06,2390050.0
01/06/2006 22:00,1,6,5,22,0,8.075,39.5833,0,0,1.29818e+06,1.53144e+08,8.00383e+06,0.0
01/06/2006 23:00,1,6,5,23,0,7.23333,41.1667,0,0,0,1.11009e+08,6.22049e+06,0.0
01/07/2006 00:00,1,7,6,0,0,6.60833,43.75,0,0,0,1.10697e+08,5.91377e+06,0.0
01/07/2006 01:00,1,7,6,1,0,6.225,46.1667,0,0,289837,9.44748e+07,1.54078e+06,0.0
01/07/2006 02:00,1,7,6,2,0,5.98333,48.1667,0,0,0,8.74482e+07,0,0.0
01/07/2006 03:00,1,7,6,3,0,5.725,50.1667,0,0,0,8.63752e+07,0,0.0
01/07/2006 04:00,1,7,6,4,0,5.30833,49.8333,0,0,0,8.53022e+07,0,0.0
01/07/2006 05:00,1,7,6,5,0,4.86667,50.1667,431982,0,0,8.81812e+07,0,431982.0
01/07/2006 06:00,1,7,6,6,0,4.35,49.25,601997,0,0,9.38057e+07,7.81321e+06,601997.0
01/07/2006 07:00,1,7,6,7,0,3.925,48.5833,1.8219e+08,0,416326,3.38737e+08,8.47144e+06,182190000.0
01/07/2006 08:00,1,7,6,8,0,3.45,47.25,1.78388e+08,0,0,3.59727e+08,8.97248e+06,178388000.0
01/07/2006 09:00,1,7,6,9,0,3.025,44.8333,1.55662e+08,0,0,3.76406e+08,9.58784e+06,155662000.0
01/07/2006 10:00,1,7,6,10,0,3.01667,42.25,9.34187e+07,0,0,3.27677e+08,1.07831e+07,93418700.0
01/07/2006 11:00,1,7,6,11,0,3.21667,39.8333,4.42608e+07,0,0,2.59041e+08,1.22707e+07,44260800.0
01/07/2006 12:00,1,7,6,12,0,4.175,35.5,2.75555e+07,0,0,2.20765e+08,1.08034e+07,27555500.0
01/07/2006 13:00,1,7,6,13,0,5.325,31.8333,1.81717e+07,0,0,1.85755e+08,1.26694e+07,18171700.0
01/07/2006 14:00,1,7,6,14,0,6.16667,29.8333,1.19274e+07,0,0,1.49803e+08,9.98288e+06,11927400.0
01/07/2006 15:00,1,7,6,15,0,6.38333,26.6667,3.52787e+07,0,50854.5,1.73242e+08,9.66533e+06,35278700.0
01/07/2006 16:00,1,7,6,16,0,5.775,23.25,4.2867e+07,0,0,1.761e+08,1.00574e+07,42867000.0
01/07/2006 17:00,1,7,6,17,0,4.75833,22,5.36965e+07,0,450879,2.02338e+08,9.77825e+06,53696500.0
01/07/2006 18:00,1,7,6,18,0,3.83333,23.1667,180000,0,343449,1.25962e+08,6.91024e+06,180000.0
01/07/2006 19:00,1,7,6,19,0,3.15,25.1667,509564,0,0,9.64144e+07,8.19188e+06,509564.0
01/07/2006 20:00,1,7,6,20,0,2.55,27.75,2.53905e+06,0,0,1.00387e+08,5.59058e+06,2539050.0
01/07/2006 21:00,1,7,6,21,0,1.89167,30.1667,4.99764e+06,0,0,1.05615e+08,0,4997640.0
01/07/2006 22:00,1,7,6,22,0,1.25,32.1667,6.98106e+06,0,0,1.14152e+08,0,6981060.0
01/07/2006 23:00,1,7,6,23,0,0.533333,35.9167,1.07132e+07,0,0,1.17307e+08,0,10713200.0
01/08/2006 00:00,1,8,0,0,0,-0.208333,39.75,1.55205e+07,0,579674,1.33269e+08,0,15520500.0
01/08/2006 01:00,1,8,0,1,0,-0.791667,43.9167,2.75653e+07,0,0,1.27047e+08,1.54066e+06,27565300.0
01/08/2006 02:00,1,8,0,2,0,-1.46667,43.6667,3.67627e+07,0,0,1.34098e+08,0,36762700.0
01/08/2006 03:00,1,8,0,3,0,-1.975,40.8333,4.60392e+07,0,0,1.43374e+08,0,46039200.0
01/08/2006 04:00,1,8,0,4,0,-2.39167,42.3333,5.03825e+07,0,0,1.47718e+08,0,50382500.0
01/08/2006 05:00,1,8,0,5,0,-2.71667,45.75,7.15444e+07,0,0,1.69462e+08,1.10053e+07,71544400.0
01/08/2006 06:00,1,8,0,6,0,-2.91667,47,7.86644e+07,0,0,1.77202e+08,6.10394e+06,78664400.0
01/08/2006 07:00,1,8,0,7,0,-3.05833,48.1667,7.6162e+07,0,0,1.85915e+08,5.9464e+06,76162000.0
01/08/2006 08:00,1,8,0,8,0,-2.98333,49.5833,8.27536e+07,0,455458,1.86869e+08,6.26123e+06,82753600.0
01/08/2006 09:00,1,8,0,9,0,-2.375,47.6667,4.43424e+07,0,652134,1.32121e+08,7.81186e+06,44342400.0
01/08/2006 10:00,1,8,0,10,0,-1.18333,43.6667,2.67917e+07,0,656964,1.13236e+08,6.04961e+06,26791700.0
01/08/2006 11:00,1,8,0,11,0,0.275,39.6667,1.45038e+07,0,144919,9.19097e+07,8.13611e+06,14503800.0
01/08/2006 12:00,1,8,0,12,0,1.48333,36.8333,9.35445e+06,0,990277,1.01463e+08,6.18222e+06,9354450.0
01/08/2006 13:00,1,8,0,13,0,2.6,34.8333,5.73826e+06,0,386449,8.70598e+07,8.35016e+06,5738260.0
01/08/2006 14:00,1,8,0,14,0,3.56667,33.4167,4.94335e+06,0,91738,9.04563e+07,8.54905e+06,4943350.0
01/08/2006 15:00,1,8,0,15,0,4.36667,32.4167,6.60092e+06,0,0,7.69743e+07,6.213e+06,6600920.0
01/08/2006 16:00,1,8,0,16,0,4.525,31.4167,8.01564e+06,0,0,7.90453e+07,8.09483e+06,8015640.0
01/08/2006 17:00,1,8,0,17,0,3.75833,32.1667,1.09076e+07,0,0,1.00963e+08,6.03667e+06,10907600.0
01/08/2006 18:00,1,8,0,18,0,3.00833,33.5833,1.50287e+07,0,0,1.24577e+08,5.95576e+06,15028700.0
01/08/2006 19:00,1,8,0,19,0,2.74167,35.1667,2.13942e+07,0,0,1.28571e+08,6.74728e+06,21394200.0
01/08/2006 20:00,1,8,0,20,0,2.64167,35.4167,2.25582e+07,0,0,1.29154e+08,2.77509e+06,22558200.0
01/08/2006 21:00,1,8,0,21,0,1.95833,38.5,2.67772e+07,0,0,1.33371e+08,0,26777200.0
01/08/2006 22:00,1,8,0,22,0,1.90833,38.6667,3.57683e+07,0,291810,1.49386e+08,0,35768300.0
01/08/2006 23:00,1,8,0,23,0,1.90833,38.75,4.03251e+07,0,289839,1.53198e+08,0,40325100.0
01/09/2006 00:00,1,9,1,0,0,1.64167,40.5833,4.69027e+07,0,0,1.53497e+08,1.54078e+06,46902700.0
01/09/2006 01:00,1,9,1,1,0,1.48333,42.1667,4.50651e+07,0,0,1.5226e+08,8.32102e+06,45065100.0
01/09/2006 02:00,1,9,1,2,0,1.51667,44.1667,4.63673e+07,0,0,1.52794e+08,0,46367300.0
01/09/2006 03:00,1,9,1,3,0,1.54167,47.3333,4.55888e+07,0,0,1.51123e+08,0,45588800.0
01/09/2006 04:00,1,9,1,4,0,1.675,46.6667,5.17631e+07,0,0,1.57322e+08,1.54072e+06,51763100.0
01/09/2006 05:00,1,9,1,5,0,1.625,45,2.33181e+08,0,61550.2,3.54787e+08,0,233181000.0
01/09/2006 06:00,1,9,1,6,0,1.20833,46.1667,4.03161e+08,0,6681.4,5.48743e+08,9.0697e+06,403161000.0
01/09/2006 07:00,1,9,1,7,0,-0.283333,70.3333,4.20438e+08,0,0,6.22612e+08,8.93544e+06,420438000.0
01/09/2006 08:00,1,9,1,8,0,-1.31667,90.5,3.79092e+08,0,38468.2,8.0511e+08,1.24493e+07,379092000.0
01/09/2006 09:00,1,9,1,9,0,-1.225,91.8333,2.13615e+08,0,191656,8.13572e+08,1.57683e+07,213615000.0
01/09/2006 10:00,1,9,1,10,0,-1.04167,91.5833,1.40861e+08,0,345179,7.08962e+08,1.65005e+07,140861000.0
01/09/2006 11:00,1,9,1,11,0,-0.941667,94.3333,1.23392e+08,0,963811,7.10663e+08,1.84602e+07,123392000.0
01/09/2006 12:00,1,9,1,12,0,-0.55,93.6667,1.17801e+08,0,1.07321e+06,6.75001e+08,1.98541e+07,117801000.0
01/09/2006 13:00,1,9,1,13,0,-0.125,92.5833,8.32495e+07,0,1.60554e+06,6.42509e+08,2.18939e+07,83249500.0
01/09/2006 14:00,1,9,1,14,0,0,93.5833,3.10705e+07,0,2.0849e+06,5.91854e+08,1.6823e+07,31070500.0
01/09/2006 15:00,1,9,1,15,0,-0.175,95.75,2.05536e+07,0,2.42655e+06,5.92946e+08,1.5208e+07,20553600.0
01/09/2006 16:00,1,9,1,16,0,-0.241667,97.5833,5.41148e+07,0,2.27843e+06,6.2079e+08,1.67113e+07,54114800.0
01/09/2006 17:00,1,9,1,17,0,-0.0833333,99.1667,1.32663e+08,0,575966,5.14616e+08,1.28626e+07,132663000.0
01/09/2006 18:00,1,9,1,18,0,0.175,97.0833,1.5911e+08,0,979603,4.50591e+08,1.14664e+07,159110000.0
01/09/2006 19:00,1,9,1,19,0,0.533333,95,1.38228e+08,0,0,3.94999e+08,9.56791e+06,138228000.0
01/09/2006 20:00,1,9,1,20,0,0.758333,93.8333,1.4886e+08,0,0,3.74341e+08,9.98614e+06,148860000.0
01/09/2006 21:00,1,9,1,21,0,0.741667,93.5833,1.18962e+08,0,0,3.19166e+08,8.07752e+06,118962000.0
01/09/2006 22:00,1,9,1,22,0,0.7,94.5833,180000,0,0,1.36899e+08,8.18765e+06,180000.0
01/09/2006 23:00,1,9,1,23,0,0.758333,95,1.55287e+06,0,0,1.11697e+08,6.03583e+06,1552870.0
01/10/2006 00:00,1,10,2,0,0,0.8,95.5833,3.73792e+06,0,0,1.05851e+08,5.91497e+06,3737920.0
01/10/2006 01:00,1,10,2,1,0,0.8,97.1667,1.15054e+07,0,0,1.11694e+08,5.79327e+06,11505400.0
01/10/2006 02:00,1,10,2,2,0,0.858333,98,2.12462e+07,0,0,1.26396e+08,0,21246200.0
01/10/2006 03:00,1,10,2,3,0,1.01667,96.8333,2.93488e+07,0,0,1.35459e+08,0,29348800.0
01/10/2006 04:00,1,10,2,4,0,1.21667,92.5,3.26726e+07,0,0,1.38231e+08,1.54078e+06,32672600.0
01/10/2006 05:00,1,10,2,5,0,1.35833,91.1667,1.55893e+08,0,0,2.74498e+08,0,155893000.0
